Algorithm name, graph size, truck no, time factor, execution time
                    Bruteforce, 6, 2, 1, 0
                    Bruteforce, 6, 3, 1, 1
               NearestNeighbor, 6, 2, 1, 0
               NearestNeighbor, 6, 3, 1, 0
                       Genetic, 6, 2, 1, 866
                       Genetic, 6, 3, 1, 920
                    Bruteforce, 8, 2, 1, 36
                    Bruteforce, 8, 3, 1, 42
               NearestNeighbor, 8, 2, 1, 0
               NearestNeighbor, 8, 3, 1, 2
                       Genetic, 8, 2, 1, 1672
                       Genetic, 8, 3, 1, 1123
                    Bruteforce, 10, 2, 1, 2930
                    Bruteforce, 10, 3, 1, 3345
               NearestNeighbor, 10, 2, 1, 1
               NearestNeighbor, 10, 3, 1, 26
                       Genetic, 10, 2, 1, 5316
                       Genetic, 10, 3, 1, 1752
                    Bruteforce, 12, 2, 1, 394477
                    Bruteforce, 12, 3, 1, 440285
               NearestNeighbor, 12, 2, 1, 7
               NearestNeighbor, 12, 3, 1, 207
                       Genetic, 12, 2, 1, 18846
                       Genetic, 12, 3, 1, 2641
                    Bruteforce, 13, 2, 1, 4.99099e+06
                    Bruteforce, 13, 3, 1, 5.62472e+06
               NearestNeighbor, 13, 2, 1, 15
               NearestNeighbor, 13, 3, 1, 662
                       Genetic, 13, 2, 1, 67498
                       Genetic, 13, 3, 1, 4586
