Algorithm name, graph size, truck no, time factor, execution time [ms]
                    Bruteforce, 7, 2, 0, 4
                    Bruteforce, 7, 2, 0.5, 4
                    Bruteforce, 7, 2, 1, 5
                    Bruteforce, 7, 3, 0, 6
                    Bruteforce, 7, 3, 0.5, 6
                    Bruteforce, 7, 3, 1, 6
                    Bruteforce, 7, 4, 0, 7
                    Bruteforce, 7, 4, 0.5, 7
                    Bruteforce, 7, 4, 1, 7
                    Bruteforce, 7, 5, 0, 8
                    Bruteforce, 7, 5, 0.5, 8
                    Bruteforce, 7, 5, 1, 8
               NearestNeighbor, 7, 2, 0, 0
               NearestNeighbor, 7, 2, 0.5, 0
               NearestNeighbor, 7, 2, 1, 0
               NearestNeighbor, 7, 3, 0, 1
               NearestNeighbor, 7, 3, 0.5, 1
               NearestNeighbor, 7, 3, 1, 1
               NearestNeighbor, 7, 4, 0, 2
               NearestNeighbor, 7, 4, 0.5, 2
               NearestNeighbor, 7, 4, 1, 2
               NearestNeighbor, 7, 5, 0, 6
               NearestNeighbor, 7, 5, 0.5, 6
               NearestNeighbor, 7, 5, 1, 5
                       Genetic, 7, 2, 0, 1200
                       Genetic, 7, 2, 0.5, 1199
                       Genetic, 7, 2, 1, 1197
                       Genetic, 7, 3, 0, 982
                       Genetic, 7, 3, 0.5, 983
                       Genetic, 7, 3, 1, 985
                       Genetic, 7, 4, 0, 1189
                       Genetic, 7, 4, 0.5, 1190
                       Genetic, 7, 4, 1, 1193
                       Genetic, 7, 5, 0, 1427
                       Genetic, 7, 5, 0.5, 1426
                       Genetic, 7, 5, 1, 1429
                    Bruteforce, 8, 2, 0, 34
                    Bruteforce, 8, 2, 0.5, 34
                    Bruteforce, 8, 2, 1, 34
                    Bruteforce, 8, 3, 0, 41
                    Bruteforce, 8, 3, 0.5, 42
                    Bruteforce, 8, 3, 1, 42
                    Bruteforce, 8, 4, 0, 47
                    Bruteforce, 8, 4, 0.5, 48
                    Bruteforce, 8, 4, 1, 47
                    Bruteforce, 8, 5, 0, 60
                    Bruteforce, 8, 5, 0.5, 60
                    Bruteforce, 8, 5, 1, 60
               NearestNeighbor, 8, 2, 0, 0
               NearestNeighbor, 8, 2, 0.5, 0
               NearestNeighbor, 8, 2, 1, 0
