graph size, truck no, time factor, best in currant graph found by bruteforce, generations, population, solution by genetic, execution time
7, 2, 1, 262, 2000, 2, 281, 254
7, 2, 1, 262, 2000, 4, 281, 492
7, 2, 1, 262, 2000, 8, 281, 955
7, 2, 1, 262, 2000, 10, 281, 1199
7, 2, 1, 262, 2000, 12, 281, 1413
7, 2, 1, 262, 2000, 14, 281, 1630
7, 2, 1, 262, 2000, 16, 281, 1852
7, 2, 1, 262, 4000, 2, 281, 253
7, 2, 1, 262, 4000, 4, 281, 492
7, 2, 1, 262, 4000, 8, 281, 950
7, 2, 1, 262, 4000, 10, 281, 1248
7, 2, 1, 262, 4000, 12, 281, 1466
7, 2, 1, 262, 4000, 14, 281, 1632
7, 2, 1, 262, 4000, 16, 281, 1855
7, 2, 1, 262, 6000, 2, 281, 254
7, 2, 1, 262, 6000, 4, 281, 492
7, 2, 1, 262, 6000, 8, 281, 952
7, 2, 1, 262, 6000, 10, 281, 1223
7, 2, 1, 262, 6000, 12, 281, 1418
7, 2, 1, 262, 6000, 14, 281, 1631
7, 2, 1, 262, 6000, 16, 281, 1850
7, 2, 1, 262, 8000, 2, 281, 254
7, 2, 1, 262, 8000, 4, 281, 493
7, 2, 1, 262, 8000, 8, 281, 955
7, 2, 1, 262, 8000, 10, 281, 1201
7, 2, 1, 262, 8000, 12, 281, 1415
7, 2, 1, 262, 8000, 14, 281, 1633
7, 2, 1, 262, 8000, 16, 281, 1847
7, 2, 1, 262, 10000, 2, 281, 254
7, 2, 1, 262, 10000, 4, 281, 490
7, 2, 1, 262, 10000, 8, 281, 951
7, 2, 1, 262, 10000, 10, 281, 1195
7, 2, 1, 262, 10000, 12, 281, 1415
7, 2, 1, 262, 10000, 14, 281, 1632
7, 2, 1, 262, 10000, 16, 281, 1852
7, 2, 1, 262, 15000, 2, 281, 254
7, 2, 1, 262, 15000, 4, 281, 492
7, 2, 1, 262, 15000, 8, 281, 950
7, 2, 1, 262, 15000, 10, 281, 1197
7, 2, 1, 262, 15000, 12, 281, 1418
7, 2, 1, 262, 15000, 14, 281, 1636
7, 2, 1, 262, 15000, 16, 281, 1849
7, 2, 1, 262, 20000, 2, 281, 254
7, 2, 1, 262, 20000, 4, 281, 490
7, 2, 1, 262, 20000, 8, 281, 948
7, 2, 1, 262, 20000, 10, 281, 1197
7, 2, 1, 262, 20000, 12, 281, 1413
7, 2, 1, 262, 20000, 14, 281, 1632
7, 2, 1, 262, 20000, 16, 281, 1851
7, 3, 1, 262, 2000, 2, 262, 218
7, 3, 1, 262, 2000, 4, 262, 412
7, 3, 1, 262, 2000, 8, 262, 783
7, 3, 1, 262, 2000, 10, 262, 987
7, 3, 1, 262, 2000, 12, 262, 1158
7, 3, 1, 262, 2000, 14, 262, 1368
7, 3, 1, 262, 2000, 16, 262, 1587
7, 3, 1, 262, 4000, 2, 262, 223
7, 3, 1, 262, 4000, 4, 262, 413
7, 3, 1, 262, 4000, 8, 262, 786
7, 3, 1, 262, 4000, 10, 262, 1018
7, 3, 1, 262, 4000, 12, 262, 1233
7, 3, 1, 262, 4000, 14, 262, 1415
7, 3, 1, 262, 4000, 16, 262, 1586
7, 3, 1, 262, 6000, 2, 262, 235
7, 3, 1, 262, 6000, 4, 262, 426
7, 3, 1, 262, 6000, 8, 262, 807
7, 3, 1, 262, 6000, 10, 262, 994
7, 3, 1, 262, 6000, 12, 262, 1159
7, 3, 1, 262, 6000, 14, 262, 1332
7, 3, 1, 262, 6000, 16, 262, 1505
7, 3, 1, 262, 8000, 2, 262, 219
7, 3, 1, 262, 8000, 4, 262, 411
7, 3, 1, 262, 8000, 8, 262, 783
7, 3, 1, 262, 8000, 10, 262, 991
7, 3, 1, 262, 8000, 12, 262, 1175
7, 3, 1, 262, 8000, 14, 262, 1330
7, 3, 1, 262, 8000, 16, 262, 1507
7, 3, 1, 262, 10000, 2, 262, 219
7, 3, 1, 262, 10000, 4, 262, 411
7, 3, 1, 262, 10000, 8, 262, 782
7, 3, 1, 262, 10000, 10, 262, 984
7, 3, 1, 262, 10000, 12, 262, 1154
7, 3, 1, 262, 10000, 14, 262, 1330
7, 3, 1, 262, 10000, 16, 262, 1501
7, 3, 1, 262, 15000, 2, 262, 220
7, 3, 1, 262, 15000, 4, 262, 411
7, 3, 1, 262, 15000, 8, 262, 782
7, 3, 1, 262, 15000, 10, 262, 985
7, 3, 1, 262, 15000, 12, 262, 1155
7, 3, 1, 262, 15000, 14, 262, 1330
7, 3, 1, 262, 15000, 16, 262, 1506
7, 3, 1, 262, 20000, 2, 262, 220
7, 3, 1, 262, 20000, 4, 262, 411
7, 3, 1, 262, 20000, 8, 262, 780
7, 3, 1, 262, 20000, 10, 262, 980
7, 3, 1, 262, 20000, 12, 262, 1160
7, 3, 1, 262, 20000, 14, 262, 1328
7, 3, 1, 262, 20000, 16, 262, 1503
7, 4, 1, 262, 2000, 2, 262, 265
7, 4, 1, 262, 2000, 4, 262, 499
7, 4, 1, 262, 2000, 8, 262, 953
7, 4, 1, 262, 2000, 10, 262, 1192
7, 4, 1, 262, 2000, 12, 262, 1410
7, 4, 1, 262, 2000, 14, 262, 1612
7, 4, 1, 262, 2000, 16, 262, 1832
7, 4, 1, 262, 4000, 2, 262, 266
7, 4, 1, 262, 4000, 4, 262, 500
7, 4, 1, 262, 4000, 8, 262, 950
7, 4, 1, 262, 4000, 10, 262, 1197
7, 4, 1, 262, 4000, 12, 262, 1400
7, 4, 1, 262, 4000, 14, 262, 1621
7, 4, 1, 262, 4000, 16, 262, 1824
7, 4, 1, 262, 6000, 2, 262, 267
7, 4, 1, 262, 6000, 4, 262, 501
7, 4, 1, 262, 6000, 8, 262, 951
7, 4, 1, 262, 6000, 10, 262, 1205
7, 4, 1, 262, 6000, 12, 262, 1403
7, 4, 1, 262, 6000, 14, 262, 1612
7, 4, 1, 262, 6000, 16, 262, 1830
7, 4, 1, 262, 8000, 2, 262, 266
7, 4, 1, 262, 8000, 4, 262, 502
7, 4, 1, 262, 8000, 8, 262, 952
7, 4, 1, 262, 8000, 10, 262, 1193
7, 4, 1, 262, 8000, 12, 262, 1410
7, 4, 1, 262, 8000, 14, 262, 1615
7, 4, 1, 262, 8000, 16, 262, 1834
7, 4, 1, 262, 10000, 2, 262, 266
7, 4, 1, 262, 10000, 4, 262, 501
7, 4, 1, 262, 10000, 8, 262, 949
7, 4, 1, 262, 10000, 10, 262, 1194
7, 4, 1, 262, 10000, 12, 262, 1437
7, 4, 1, 262, 10000, 14, 262, 1613
7, 4, 1, 262, 10000, 16, 262, 1833
7, 4, 1, 262, 15000, 2, 262, 265
7, 4, 1, 262, 15000, 4, 262, 499
7, 4, 1, 262, 15000, 8, 262, 982
7, 4, 1, 262, 15000, 10, 262, 1201
7, 4, 1, 262, 15000, 12, 262, 1399
7, 4, 1, 262, 15000, 14, 262, 1619
7, 4, 1, 262, 15000, 16, 262, 1829
7, 4, 1, 262, 20000, 2, 262, 266
7, 4, 1, 262, 20000, 4, 262, 499
7, 4, 1, 262, 20000, 8, 262, 947
7, 4, 1, 262, 20000, 10, 262, 1192
7, 4, 1, 262, 20000, 12, 262, 1405
7, 4, 1, 262, 20000, 14, 262, 1616
7, 4, 1, 262, 20000, 16, 262, 1826
8, 2, 1, 166, 2000, 2, 179, 391
8, 2, 1, 166, 2000, 4, 179, 758
8, 2, 1, 166, 2000, 8, 179, 1454
